ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
8564,成雨筠爱贡晓荀,white,Top,"12/29/2016, 8:05:57 PM",9,0
9315,周晨宇你快坐下不要激动,white,Top,"12/29/2016, 8:15:07 PM",9,0
3472,表白1706bili学姐！,red,Bottom,"12/29/2016, 7:16:59 PM",6,1
3674,先有T哥后有天，对话空气日神仙,red,Top,"12/29/2016, 7:18:05 PM",5,1
5819,外校来膜拜,#4920FF,Bottom,"12/29/2016, 7:45:38 PM",7,0
7198,男同学选政治知道不知道啊,white,Top,"12/29/2016, 7:56:01 PM",9,0
811,祝韩淳徐攀幸福,blue,Top,"12/29/2016, 6:28:54 PM",10,1
12040,川普不行啊,white,Bottom,"12/29/2016, 9:13:44 PM",4,2
7408,表白精编,green,Top,"12/29/2016, 7:57:30 PM",9,0
7071,1910lcz！,white,Top,"12/29/2016, 7:55:05 PM",8,1
6651,疏桐可斫琴,red,Top,"12/29/2016, 7:52:03 PM",7,1
11749,郭啦啦一脸黑人问号❓,white,Bottom,"12/29/2016, 9:05:17 PM",5,1
3737,尹伟奇老师您看得见吗，我是方正我很心疼你,white,Top,"12/29/2016, 7:18:30 PM",6,0
6465,减肥！减肥减肥！,white,Top,"12/29/2016, 7:49:59 PM",8,0
3892,切尔西是冠军！,white,Top,"12/29/2016, 7:19:28 PM",7,0
10849,妹子好好看ojz,white,Top,"12/29/2016, 8:43:03 PM",5,1
6378,朱逸凡世界第一超绝无敌帅,green,Top,"12/29/2016, 7:49:11 PM",9,0
3338,1802JYM表白LZC,red,Top,"12/29/2016, 7:16:13 PM",7,0
9837,乔嘉伟喜欢吗！！,white,Top,"12/29/2016, 8:19:37 PM",8,0
524,syl强无敌,blue,Top,"12/29/2016, 6:22:29 PM",7,1
1397,表白1607刘子隆,red,Top,"12/29/2016, 6:47:23 PM",9,0
10634,只想看后面妹子！！,white,Top,"12/29/2016, 8:40:12 PM",7,0
7118,🐸🐸🐸🐸🐸🐸🐸🐸,white,Bottom,"12/29/2016, 7:55:23 PM",7,2
